"Syllable1","Syllable2","time","f0_norm","speaker","pitch_con","syl","tone","prev"
"2","4",10,0.505938549999996,"s1","_HLBD3_s1_1","1","2","none"
"2","4",11,-0.252394750000008,"s1","_HLBD3_s1_1","1","2","none"
"2","4",12,-1.01312295,"s1","_HLBD3_s1_1","1","2","none"
"2","4",13,-1.76541865,"s1","_HLBD3_s1_1","1","2","none"
"2","4",14,-2.49107685,"s1","_HLBD3_s1_1","1","2","none"
"2","4",15,-3.10879945000001,"s1","_HLBD3_s1_1","1","2","none"
"2","4",16,-3.57553505,"s1","_HLBD3_s1_1","1","2","none"
"2","4",17,-3.89072575,"s1","_HLBD3_s1_1","1","2","none"
"2","4",18,-4.05296395000001,"s1","_HLBD3_s1_1","1","2","none"
"2","4",19,-4.06243525000001,"s1","_HLBD3_s1_1","1","2","none"
"2","4",20,-3.86517385000001,"s1","_HLBD3_s1_1","1","2","none"
"2","4",21,-3.51204305,"s1","_HLBD3_s1_1","1","2","none"
"2","4",22,-3.01049745,"s1","_HLBD3_s1_1","1","2","none"
"2","4",23,-2.36775205000001,"s1","_HLBD3_s1_1","1","2","none"
"2","4",24,-1.54197325,"s1","_HLBD3_s1_1","1","2","none"
"2","4",25,-0.682304150000007,"s1","_HLBD3_s1_1","1","2","none"
"2","4",26,0.159709949999993,"s1","_HLBD3_s1_1","1","2","none"
"2","4",27,0.950279249999994,"s1","_HLBD3_s1_1","1","2","none"
"2","4",28,1.64814425,"s1","_HLBD3_s1_1","1","2","none"
"2","4",29,2.21184945,"s1","_HLBD3_s1_1","1","2","none"
"2","4",30,2.72603675000001,"s1","_HLBD3_s1_1","1","2","none"
"2","4",1,10.9042325433333,"s2","_HLBD3_s2_1","1","2","none"
"2","4",2,11.0792455433333,"s2","_HLBD3_s2_1","1","2","none"
"2","4",3,11.2303355433333,"s2","_HLBD3_s2_1","1","2","none"
"2","4",4,11.3341434433333,"s2","_HLBD3_s2_1","1","2","none"
"2","4",5,11.2464685433333,"s2","_HLBD3_s2_1","1","2","none"
"2","4",6,11.0624749433333,"s2","_HLBD3_s2_1","1","2","none"
"2","4",7,10.5235006433333,"s2","_HLBD3_s2_1","1","2","none"
"2","4",8,9.80051964333333,"s2","_HLBD3_s2_1","1","2","none"
"2","4",9,8.72648374333335,"s2","_HLBD3_s2_1","1","2","none"
"2","4",10,7.20950714333333,"s2","_HLBD3_s2_1","1","2","none"
"2","4",11,5.47956584333335,"s2","_HLBD3_s2_1","1","2","none"
"2","4",12,3.47637724333333,"s2","_HLBD3_s2_1","1","2","none"
"2","4",13,1.45947654333332,"s2","_HLBD3_s2_1","1","2","none"
